autor,calificacion,contenido,hotel,titulo
Sven D,20,"Alquilamos para 60 personas.  Con un menu establecido con anticipacion,  aun asi todos los dias las comidas llegaron en general 1h atrazado.  En mi cuarto la l,...",Rustica Vichayito,
Sven D,40,"Muy sabroso,  rapido,  muy amable el personal. Llegamos. Con 16 personas y rapido noa ibicaron,  pedimos las comidas y pronto llego. Nada que decir",Restaurant Bambu,
Sven D,10,"We had a late check in,  all coordinated,  with the manager,  so the key would be waiting next door. We arrived. 0h15 and there was no key with the neighbours,,...",Hotel Mille Colonnes,
Sven D,20,"aun que la comida es rica, mis hijas les encanta, pero cada vez que haces un delivery o por recoger hay errores en la entrega. En general hacen el esfuerzo de c,...",Edo Sushi Bar,
Sven D,50,"un museo unico creo, vale la pena de visitarlo y especialmente hacerlo con tiempo. hay muchissima iformacion sobre la historia de peru",Museo Larco,
Sven D,40,"una oferta turistica diferente, barato, especialmente en verano, si van con niños, no olviden de llevar traje de baño o una muda de ropa. puede estar relleno en,...",Circuito Magico Del Agua,
Sven D,50,"como siempre la ultima vez todo fue perfecto, atencion excelente, bebidas sabrosos, y la comida delicioso.",Tzuru Restaurante Nikkei,
Sven D,40,"una buena opcion, para parjeas de viajeros o viajeros solos, si es que te quedas unos dias en cuzco, es centrico, limpio, tienes tu kichinette, algo frio, pero ,...",Renacimiento,
Sven D,50,"una buena parada en camino hacia el valle sagrado, buenas explicaciones, varios animales silvestres. vale la pena",Santuario Animal de Cochahuasi,
Sven D,50,"una muy buena opcion para tomarse una artesanales peruanas, valle sagrada, zenith, kapun. Ambiente grato y personal entrenado",Cholos Craft Beers,
Sven D,40,"esta bien, limpio,desayuno es algo lento y monotono si te quedas mas que un dia, pero por este precio no hay como quejarse. Siempre voy por trabajo y cumple con,...",Imperio Chanka Hotel,
Sven D,10,"First and last time there.  Being summertime and first day of very nice weather some delay can be expected,  bur 1h for 3 plates of mussels and some fries is ju,...",Lido Sole,
Sven D,10,"We could not sleep there as they did not keep our reservation in the hotel.  When we arrived their at 19h30 they had all ready given our rooms to others.  Then ,...",Hotel Colmena,
Sven D,40,"un lugar bonito para quedarse en Riobamba, bastante centrico, buena atencion, desayuno un poco limitado, pocas opciones.Los cuartos al lado de la calle pueden ,...",Hotel Bella Casona,
Sven D,30,"lugar agradable para pasar un rato con los amigos para picar y tomar algo.ambiente moderno y clarola atencion si aveces es muy lento especialmente si vas con ,...",Rayuela Restobar,
Sven D,40,"Como siempre muy grata atencion solo que no estaba funcionando el internet esta vez. Pero por el otro lado se me quedaron unas cosas en la habitacion que fueron,...",Hotel Aleman,
Sven D,50,"simpemente un lugar linda para caminar en la ciudad. Cerca de la zona ecocomica de miraflores, bonitas vistas y lugares para los ninos para jugar",Miraflores Boardwalk,
Sven D,50,"un lugar para pasar u bune rato, leer todas los mosaicos presentes en el parque, tanto en pareja que solo",El Parque del Amor,
Sven D,40,"cerca del hotel donde estaba, un buen servicio, rapido y sabroso, al lado de una sita arqueologico. Seguro volvere",La Bodega de La Trattoria,
Sven D,30,"muy lento el servicio, copas no adaptadas a las cervezas, poca o nula conocimiento de cervezas por los trabajadores. ",Cañas,
Tablo,30,"Spent about 4 days here and the hotel is a very convenient 2 block walk to the Plaza Mayor. The front building itself is charming--wooden balconies, stone mason,...",Hotel San Francisco de Paula,
Tablo,50,"I was pleasantly surprised by this little restaurant--the pizza was great! The bread used is flat and soft, but the mix of cheeses is what really makes it so de,...",Pizzeria Italiana,
Tablo,40,"Stayed in Lima few nights in August and was pleasantly surprised by Casa Nostra. The staff is very friendly, and the majority of the rooms are located in an old,...",La Casa Nostra,
Tablo,40,"I stayed here for 10 days as part of a larger business group. Located along busy Hamdan Street in a central area, you are about equidistant to the Corniche, the,...","Crowne Plaza Abu Dhabi, an IHG hotel",
Tablo,40,"Was here for a few nights in July. The hotel is a conveinent walk to the Plaza de Armas (10 min), but the streets can be a bit deserted at night, so take a taxi,...",Casa de Avila - For Travellers,
Tablo,30,"Like others have mentioned, this place isn't fancy or luxurious, but it's always solid and the staff is very helpful. Nice that it's set in a little park with p,...",Hotel Santa Prisca,
Tablo,50,"A recent transplant to Phila., I've been checking out all the Italian restaurants, and this one is really tops. My friends and I had the wonderful gnocchi, veal,...",Cucina Forte,
Tablo,40,"I moved to Phila a few months ago and have fallen in love with the historic houses here in the park. Most are elegant country retreats built by the rising Phila,...",Fairmount Park,
Tablo,50,"I try to visit Dumbarton Oaks a few times a year, because honestly, the beauty and peace you encounter here are a rarity in this world. Not having much of a gre,...",Dumbarton Oaks,
Tablo,50,"This is one of my favorite places to take out of town guests. Although I've been here at least 15 times in the last couple of years, I'm always blown away by th,...",Anderson House,
Tablo,50,"If you like historic houses and gardens, then Tudor Place is a must; only a block from Dumbarton Oaks, the two can be easily paired in one excursion. This beaut,...",Tudor Place,
Tablo,30,"I booked this hotel based on another Trip Advisor review. If you're looking for a good, basic place to stay while exploring Cordoba and its surroundings, this i,...",Merit Gran Hotel Victoria,
Tablo,40,"I booked this hotel through a flight/hotel deal, and wasn't sure what to expect. I was very pleasantly surprised- the room was sparkling and spacious, with a la,...",Argenta Tower Retiro Hotel,
Tablo,20,"I stayed here with friends in the beginning of Jan. The hotel was nice all around, but there were some aspects that were annoying. Our rooms smelled of cigarett,...",San Agustin Exclusive,
Tablo,30,"I stayed here in Jan. with friends. The hotel is on a quiet street about 10 mins (walking), from the Cathedral. At first sight, it really is a charming place, w,...",Hotel Arqueologo Exclusive Selection,
Tablo,30,"I stayed here in Jan. with some friends. The hostal is across the street from the Plaza San Francisco, and close to many artisan shops where you can buy just ab,...",Naira Hostal,
Ryan B,20,"All I can say is that this place is very touristy. I knew this going in but didn't expect the call button for impatient foreigners to be part of it.  However, t,...",Happy Bar & Grill Center Varna,
Ryan B,40,"Overall we had a great experience staying here. Breakfast was buffet style in the adjacent restaurant and had a wide variety of foods with attentive staff.  We ,...",Graffit Gallery Hotel,
Ryan B,40,"Overall we had a nice experience here.  Easy to find, a quick walk from the Kew Gardens  metro station.  Their breakfast was great!  They have a chef come in fo,...",Kew Gardens Hotel,
Ryan B,10,"To start off on a light note, the location of the hotel is fairly nice.  Its just a couple of blocks from the fish market and an easy walk to most attractions a,...",Basic Hotel Bergen,
Ryan B,50,"This hotel was fantastic! Great breakfast, staff, accommodations, location, and price!  Arguably, as other reviews have pointed out the rooms can be a little sm,...",Scandic Grensen,
Ryan B,40,"We had a great stay and had easy access to everything we wanted to see in the city.  Its a short walk (10-15 mins), or shorter tram ride, to museum island (Vasa,...","Hotel Esplanade, Sure Hotel Collection by Best Western",
Ryan B,30,"If you're going to visit Belgrade, this isnt the hotel isnt what you should book.  If you're looking for a hotel for a night before you fly out the next morning,...",New Belgrade Hotel,
Ryan B,50,"This was a great place!  Nothing to complain about here.  Tucked away but close to the metro, which makes it easy to get around the city.  Basic of course, but ,...",Hotel Mozart,
Ryan B,50,"Nothing beats a hot and ready (but probably been sitting there for 3 hours, but really thats what makes it taste so good) 5$ pizza!      ",Little Caesars,
Ryan B,30,"This is a great hotel in a great location.  Its an old Spanish mansion with an open courtyard in the middle with great sitting areas.  A small breakfast is incl,...",Hotel San Francisco de Paula,
globetraveler60742,50,"I did not stay at the hotel but ate at the restaurant. The food was really good, the views from the balcony are beautiful, the service was also great. I will de,...",ViaVia Cafe Ayacucho,
globetraveler60742,40,"I stayed at this hotel for a weekend. The rooms are simple but nice and clean. Hot water was plenty. They had coca tea 24 hours in the lobby which is a nice tou,...",Hotel San Francisco de Paula,
chengtse,40,這邊的之前作為青旅，但同時可以預訂私人房間。預定後會收到入住指引，包含一樓大門密碼鎖的密碼。共用衛浴，房間有暖氣，公共空間有微波爐、電磁爐（加熱很慢但堪用）和冰箱。飯店旁有停車位。整體而言，是個尋求簡單住宿的可行選項。,The Eastern Hotel,
chengtse,50,地點離海岸大概5分鐘的路程，相比其他住宿比較外圍，但完全不影響美好的體驗。我們很喜歡位在Guest House的共用廚房，設備具全，可以自煮準備完美的餐點。主人Mark是個親切的人，同天入住的其他旅客也都是謙和可愛的人。整體住宿經驗非常好，下次造訪大洋路停留一定會再訪。,Port Campbell Flash Packers and Guesthouse,
chengtse,50,此物業同時管理很多棟在湖邊的住宅，因此相信入住的實際情況會有一些差距，我們入住的Braeview 四房住宅，設備齊全，甚至有煮米的電子鍋，很棒！,Lake Tekapo Holiday Homes,
chengtse,50,員工親切，環境整潔，有沙灘和無邊際泳池，各式餐廳口味都很不錯，我們覺得義式餐廳是非常驚喜的體驗！附有很多免費的活動，我們參加清晨瑜伽、廚藝秀和傍晚散步行程，都非常不錯！,Candi Beach Resort & Spa,
chengtse,40,"房間空間相當大，基本房型即有一廳一房兩衛，泳池很大，設計適合做潛水訓練，最深達2.8公尺。員工親切，但不一定能即時給予幫助-像是我們要用廚房煮泡麵，就必須電話來回才能取得需要的額外器具。有一天早餐為點餐，可能因為入住人數不多。房間沒有飯店設施介紹的手冊，所以活動都要問員工有自己飯店所屬的海灘，非常安靜的,...",Wyndham Sundancer Resort Lombok,
chengtse,50,"Pía 與 Hasin 攜手到溫暖的Zanzibar創業，這是他們剛開業兩個月的飯店。在我們近一年的旅程中，他們是數一數二親切好客的住宿主人，在這邊的住宿體驗完全可以預期會趨近完美。飯店地點位於寧靜的Bwejuu，海灘的人相比熱鬧的Paje寧靜，你可以遠離喧鬧和滿天的Kitesurfer享受海灘。如果要到Paje感,...",The African Paradise Beach Hotel,
chengtse,40,"優點：員工親切，主建物很舒適，非常的安靜，二樓的房間有很棒的陽台*可以安排相對便宜的機場接送(35USD，機場標價50USD)，免去自行殺價的麻煩。*使用廚房需要付一點費用5000TS，但可以使用一些冰箱的蔬菜(洋蔥、番茄等)，給定這邊距離超市比較遠，還算方便。*協助安排的Safari行程，價格和體驗都讓人滿意,...",Wakawaka Hostel,
chengtse,50,Miraflores運河觀景台有館藏豐富的展覽廳，介紹從殖民時期到美國介入的運河興建過程，建議到官網確認船隻經過的時間，我們參觀的當天，午後有比較多船從大西洋側往太平洋側，很狀觀,Panama Canal,
chengtse,50,(+)地點鄰近蠻多星級飯店，在周遭散步可以感覺到是安全和舒適的區域，鄰近有很多小超市，我們住的是公寓房型，廚房的器具算齊全，自己煮食方便。有電梯、有空調，整體來說很不錯，離公共運輸稍微有一段距離，乘坐Uber比較方便(-)我們房間的熱水沒有很穩定，不確定問題為何,Blu Hostel,
chengtse,,,Ethiopian High Land Tours,
chengtse,50,"我們入住的是公寓式的套房，廚房配備齊全，房間有電視、冷氣，光線算明亮。套房還有一個小中庭(但也不知道怎麼使用)。如果喜歡住處有泳池的話，這邊配有一個很有樣子的游泳池，以價格來說鰻超值的。但我們利用這邊停一晚，隔天一早自駕前往Chichen Itza，其實也沒太多機會用上。小缺點: 1. 進公寓的入口有一間飯店合作/,...",Hotel & Suites Country,
chengtse,30,"員工親切，很努力嘗試用英文跟我們溝通；附有停車場；房間的智慧型電視可看Netflix；附近有一家當地餐廳(Las Brasas del Bajio)，有價位合宜的食物和飲料缺點：本來以為這是有廚房的套房，但實際入住的時候發現，廚房只有水槽、冰箱和微波爐。如果需要火爐，可在提出需求後另外提供插電的小爐。使用上其實不大,...",Hotel Suites La Roca,
chengtse,40,"1. 鄰近National Museum of Death和Moreles 市場(有很多吃的)，入住一天，房間乾淨舒適。基本上有點像是有飯店感的日租套房，沒有太多額外的設施。員工親切，行李可以在入住前後寄在一樓大廳。2. 房間的智慧型電視可以登入個人的Netflix很方便。3. 天井使得隔音效果不大好，我們晚上還聽,...",Hotel Parga,
chengtse,50,簡單、乾淨，員工親切的旅社。地點靠近市場和Merced教堂。有個可愛的頂樓陽台，可以看Antigua市景。大廳隨時提供水和咖啡，是個性價比高的選擇。,Hotel Casa Cristina,
chengtse,50,"這間Guest House 的位置很好，鄰近碼頭、多間餐廳，知名的Iguana Beach Bar。到Lazy Lizard Beach慢慢大概走7-10分鐘。公寓房的格局是一廳一臥一衛，空間寬敞，廚房設備齊全，有烤箱、微波爐、瓦斯爐。公寓的住客有免費的洗衣服務。如果偏好環保，不用每兩天的room servic,...",Vista del Mar Guesthouse,
chengtse,50,"我們在Caye Caulker多半的時間在拿潛水證照，就這麼一天跟著Caveman潛水。我們的嚮導-Harry and John兩位都是非常專業、充滿幽默感、又帥氣的導遊。我們在全天行程中，看到海牛、跟鯊魚（Nurse Sharks）共遊、魟魚、海龜和美麗的珊瑚礁。午餐有附上一瓶氣泡飲料，船上提供水但需自備水瓶,...",Caveman Snorkeling Tours,
chengtse,50,員工親切，地點就在市場旁邊，走到港邊也很近。入住時有說明廚房只能在早餐時段使用，對習慣在外煮食的我們有點失望。最好能在訂房網頁上說明。,La Casa de Jeimy,
chengtse,50,員工非常親切，不過只有簡單的英語能溝通。廚房和餐廳非常寬敞，用具齊全，如果打算在此有幾餐自己準備，是個非常適合的旅館。空間寬敞，如果有需要晾衣服也可以詢問他們，會指引你可以晾的地方。地點稍微外圍一點，但走路約15分鐘可以到港邊的鬧區，或是乘坐計程車。,La  Mirada Del Solitario George,
chengtse,50,飯店主人很親切友善，因為我們對於套裝行程沒有興趣，他仍非常願意提供平實的旅遊資訊，這對於自助旅行者非常有幫助！早餐可用微波爐加熱麵包！下次造訪會列為優先考慮！,Sonder Pa'rc,
chengtse,40,"床真的非常舒服，走路約7分鐘有一間Unimarc大超市，很適合在前往SPA前補充各種乾糧。主人很親切友善。地點上算是比較外圍，如果會西語的話坐當地的共乘計程車其實算方便，不然就是直接坐Uber移動~廚房配備基本，煮個麵燒個水OK，但如果要認真煮飯會比較困難一點其他旅客在訂房網站的留言很真實，房間位於二樓，旁邊幹道有,...",Apartamentos Norte Grande,
Dani_brazil_to_the_world,50,"I signed up for the refresh course as I haven't dived in a long time. During the first day things didn't go so well but I asked to change the instructor and the,...",3W DIVE Gili Air,
Dani_brazil_to_the_world,50,"I chose Dao's travel agency for the one year business visa of my boyfriend. They had the best price, but they also had a really good service. I never been to th,...",Dao's Travel Agency - Day Tours,
Dani_brazil_to_the_world,50,"Estavamos a procura de calma e tranquilidade, mas também um bom custo benefício. Osaka Riverside é um hotel novo, os quartos sao super confortaveis e o cafe da ,...",Hoi An Osaka Riverside Villa & Spa,
Dani_brazil_to_the_world,50,"Reservamos esse hostel na correria e nao sabiamos bem o que esperar. Chegamos lá e fomos super bem recebidos pelos irmãos vietnamitas John e Paul. Eles escolher,...",John and Paul Hostel,
Dani_brazil_to_the_world,50,"I love massages and I go often. But more and more I became hard to please. At Yakushi, they are very serious about the small details. The silence, the smells, ,...",Yakushi Center,
Dani_brazil_to_the_world,50,"We were four people, two in honeymoon. I will divide my review in parts.- Drive to Halong and back to Hanoi: the bus was more comfortable than I expected when ,...",Rosa Cruise,
Dani_brazil_to_the_world,50,"Estadia ótima. Fomos recebidos muito bem pelo pessoal da recepção que nos indicou varias comidas deliciosas na região. O banheiro eh grande, tem lugar pra troca,...",Capsule Hotel Old Batavia,
Dani_brazil_to_the_world,50,"Um pouco longe da Khao San road mas o quarto eh super limpo (cama confortavel, endredon), tudo funcionando, internet rapida. A area eh bem legal tambem e a cami,...",Tim Mansion,
Dani_brazil_to_the_world,40,"O preco nao eh o mais barato (alguns amigos ficaram perto da estacao de onibus) por menos mas gostamos muito da localizacao e do quarto limpo, chuveiro quente, ,...",La Valle Hotel,
Dani_brazil_to_the_world,50,"Copacabana eh pequena, entao dificilmente o hotel eh mau localizado. Os precos sao bem baixos na cidade e no Olas, pagamos muito pouco a mais para uma suite bem,...",Olas del titicaca,
Dani_brazil_to_the_world,50,"Comemos o especial, que eh musli, com yogurte natural e frutas. O preco eh meio alto, mas eh enorme e estava delicioso. Voltamos no dia seguinte pra mais um. Me,...",El Condor & The Eagle Cafe,
Dani_brazil_to_the_world,40,"Fomos jantar em dois casais. Eu pedi a truta recheada, que estava muito boa. Alias, todo mundo adorou seus pratos. Sao muito bem servidos, mas demoram um pouco.,...",La Orilla,
Dani_brazil_to_the_world,50,"Muitas opcoes, coma quanto quiser de saladas. Escola um dos pratos quentes, suco e sobremesa por 20 soles. Nosso preferido em Cocha.",Gopal Comida Vegetariana,
Dani_brazil_to_the_world,40,"Melhor (e mais barato) que La Hormiga (o outro parque turistico na regiao). Voce caminha sozinho na trilha ate o mirador. Nao vimos nenhum macaco, mas nos disse,...",Parque Machia,
Dani_brazil_to_the_world,50,"Chegamos a noite e esse era um dos unicos restaurantes abertos. Pedimos o javali (queriamos uma carne exotica, mas nao muitos estavam disponiveis) e estava mara,...",Restaurant San Silvestre,
Dani_brazil_to_the_world,50,"Esse restaurante nao tem nada de especial, exceto por ser localizado numa cidade com bem poucas opcoes decentes, o que fez a experiencia no El Alamo, otima. O r,...",El Alamo Tupiza,
Dani_brazil_to_the_world,40,"Fizemos a viagem pra uyuni com eles. Na verdade nao achamos nada de especial. O servico foi igual a Tupiza Tours. Nosso motorista foi bem profissional e fez tud,...",La Torre Tours,
Dani_brazil_to_the_world,50,"O lugr eh simples, mas o quarto estava super limpinho, roupa de cama branca, confortavel, banho quente,  e internet sem problemas. Ficamos 5 noites bem felizes ,...",Wayna Inka Ollantay,
Dani_brazil_to_the_world,50,"Estou sonhando ateh hoje com as batatas enroladas. Fomos muitas vezes e tudo que comemos nao deixou a desejar em sabor, quantidade e apresentacao. Nosso restaur,...",Green Point,
Dani_brazil_to_the_world,40,"O quarto estava limpo, o banho quente, toalhas limpas e a internet funcionando. O funcionario atencioso, a localizacao bem central. O preco foi bom tambem. O un,...",Linda Flor,
MidasJack,50,"Recomiendo ir en un dia despejado, podrán ver toooooodo el central park.Nosotros adquirimos el city pass y nos fue muy bien.",Top of the Rock,
MidasJack,50,"Muy proximo a la Casa Blanca, a los museos y momumentos. Llegamos caminando a todas las atracciones. El servicio es muy bueno y la limpieza tambien.Podria deci,...",Washington Plaza Hotel,
MidasJack,40,"Ya sea para salir a correr, hacer algo de ejercicio, ver el atardecer o un paseo nocturno el malecon de Miraflores es el mejor lugar.Cuenta con amplias areas v,...",Miraflores Boardwalk,
MidasJack,40,"A solo 5 minutos de la plaza de armas de Ayacucho (realmente cerca, huamanga es chiquito) se encuentra este hotel el cual por el mismo precio que consulté en ot,...",Classic Continental Hotel,
MidasJack,50,"Rodenado la plaza podemos apreciar la arqueria en las cuadras aledañas, restaurantes muy cerca y el mercado tambien, calles peatonales hacen muy comodo el paseo,...",Plaza Mayor de Ayacucho,
MidasJack,30,"Me recomendaron mucho el restaurante y fui a buscar comida tipica de Ayacucho, pensé encontrar puca picante o cuy pero no habia en la carta.El chicharron de tr,...",ViaVia Cafe Ayacucho,
MidasJack,40,"Soy arquitecto y el obelisco por fuera me causa una gran impresion, puedo estar ahi observando por horas (me fui porque ya empezaba a hacer frio). Al entrar tuv,...",Obelisco de la Pampa de la Quinua,
MidasJack,50,"Imperdible en la visita a Ayacucho, paso obligado en fin de semana, todos los platos están ricos. Esta a 5 minutos de la plaza de armas y el ambiente es agradab,...",Recreo Las Flores,
MidasJack,50,"Fuimos cuatro personas y estuvimos muy comodos en las habitaciones, espaciosas y con buenos servicios, tiene una excelente vista a la playa y de noche desde tu ,...",Aranwa Paracas Resort & Spa,
MidasJack,40,"El agua heladisima, pero muy bonita...me demoré un monton en entrar. el paisaje buenazo y el agua muy limpia. No me meti mucho porque no se nadar. Es agradable ,...",Playa de la Mina,
MidasJack,40,"Llegamos a Arequipa y luego de ver a 3 hoteles más encontramos, y nos gustó mucho, La Casona de Palacio Viejo. Es pequeño pero acogedor, la atención es muy muy ,...",La Casona de Palacio Viejo,
MidasJack,50,"Perfecto! Empezando por la compra de la entrada, todo muy ordenado, la atención de las guias y el estado de conservación del monasterio. En su visita a Arequipa,...",Monasterio de Santa Catalina,
MidasJack,30,"Si eres de los que les gusta observar y te tomas tu tiempo para hacerlo, el mirador de Sachaca te dará una posicion privilegiada para poder hacerlo. Para un lad,...",Mirador De Sachaca,
MidasJack,30,"Lo bueno es que está cerca a la plaza, justo a la espalda de la catedral. Está limpio, los muchachos se esfuerzan en dar una buena atención, aveces no lo logran,...",Mixture Perú Boutique Hotel,
MidasJack,50,"Limpio y bonito, justo cuando llegué habían procesiones y pasacalles. La catedral imponente en sus interiores es lo mejor de todo, no se vayan de Cuzco sin entr,...",Centro Historico De Cusco,
MidasJack,50,"Vas por el camino en el trasporte y de un momento a otro aparece resplandeciente un blanco gigante entre los cerros, mientras te vas acercando te vas dando cuen,...",Salinas de Maras,
MidasJack,50,"Indescriptible. Vayan entren y deténganse un momento en la nave central de la catedral y sientan la monumentalidad de su arquitectura. Abracen una de las column,...",Cusco Cathedral,
Victoria L,50,"Beautiful place where the people behind the counter will chat to you all afternoon. Top notch coffee and chocolate, lots of gringos for a reason!",Cafe San Juan,
Victoria L,10,"Made a booking by myself which I had to pay for twice (I was desperate for something to do in GC), fair enough. However the tour was super quick and I was basic,...",Private Tour: Guatemala City Morning or Afternoon Tour,
Victoria L,30,"Huge market that actually can feel intimidating if you end up in the wrong part! Food stalls, arts and crafts, garden decorations and household goods are all on,...",Mercado Central,
Victoria L,40,A little out of the way but it has tons of designs and histories to observe. Wish I could have taken it all in!!,Museo Ixchel del Traje Indigena,
Victoria L,30,"A novel thing to experience a European style shopping town in Guatemala City! Pretty, clean, they have lots of upmarket shopping and eating options. Pretty quie,...",Paseo Cayala,
Victoria L,30,"Huge Chocomuseo with tons of local artisanal gifts and treats to enjoy! However I encountered a snag when the reception mistook my booking for a chocolate class,...",ChocoMuseo,
Victoria L,40,"I found this place quite by accident just wandering around in Antigua. Stunning views of the volcanoes, and the food caters to both local and Western tastes. Th,...",Cafe Sky,
Victoria L,30,"I loved the smoothies here, the sandwiches were slightly bland but they bridged a gap. Wish I could drop by again! Popular with backpackers and travellers of al,...",Cool Beans Cafe,
Victoria L,40,"Intense fire ceremony, Alex was a great guide and he even took me round Solola market afterwards! Beautiful day, I miss Panajachel very much. Only issue was I,...",Lake Atitlan: Mayan Ceremony at the Sacred Caves,
Victoria L,50,"Treated myself to a big old breakfast and had a great coffee here, lots of foreigners (sometimes with their kids) frequent here for a reason! Pricey for backpac,...",Maple & Tocino,
Victoria L,40,"I struggled to get orientated in Flores initially, but once I did I was glad I booked this central hostel. Homemade banana bread (I'd kill for to have that agai,...",Ciao Cacao Hostel & Cafe,
Victoria L,40,"Super clean and convenient hotel for airport purposes only, there is literally nothing else worth talking about. The staff are helpful and kind, helping with sh,...",In & Out Hotel,
Victoria L,40,"Convenient hostel in the centre of stunning Antigua. The DESAYUNO TRADICIONAL is not to be missed: beans, bread, plantain and eggs, it's delicious and included,,...",Maya Papaya,
An M,40,"Het hostel heeft een zeer huiselijk karakter. Het oudere koppel (zij ,Zuid-Amerikaans, hij van Nieuw Zeeland) ontvangt je zeer hartelijk in hun woonkamer waar o,...",Hostal Sunny Days,
Victoria L,40,"Mayachik is a little pricey for your average backpacker and food is NOT included but it is so fresh and tasty! If you don't like cats or dogs don't go because t,...",Mayachik Vegetarian Restaurant,
Victoria L,50,"Beautiful service yesterday! Amazing injera - both meat and veggie based. Still drooling. Roasted coffee beans presented to us on a traditional mat to whet our ,...",Asmara Bella Restaurant,
An M,30,"De dame van het hostel heeft niet de meest vriendelijke manier om mensen te ontvangen, maar eens je beslist om er toch te blijven wordt ze vriendelijker. Heel,...",Hostal Intipara,
An M,40,"Je kan hier kiezen voor een cabaña of hotelkamer. Wij kozen voor het laatste. We betaalden 25 000 sol voor een matrimonial met privé badkamer en eigen piepklei,...",Hotel y Cabañas Licanantay,
Victoria L,50,"Lots of art to see, obviously the famous kiss is always surrounded by people! Quieter on the other side where there's a ton of rubbish graffitti, but it's inter,...",East Side Gallery,
Victoria L,40,Freezing outside in winter but very interesting and detailed exhibitions downstairs. So much information to take in!,The Holocaust Memorial - Memorial to the Murdered Jews of Europe,
An M,50,"Met toch wel wat verwachtingen vertrokken we naar deze spookstad. En of ze zijn ingelost. We wandelden hier ruim drie uur rond en hadden nog niet alles gezien. ,...",Oficina Salitrera Santiago Humberstone,
An M,50,"Wij zijn nu niet echt kenners van het heelal en al helemaal geen keien in wetenschap. Toch vonden wij het beiden absoluut de moeite om deze gratis toer te doen.,...",ALMA Observatory,
Victoria L,40,"I didn't actually see much of it as it was a flying visit but the room was great, clean, lots of amenities - hairdryer, coffee, towels - and was definitely reas,...","The Met Hotel Leeds, an IHG hotel",
Victoria L,30,"I did go when the weather was unexpectedly bad (no one's fault), and it was ok for the price, but I have definitely been in better hostels in poorer countries w,...",Phil's Haven Hostel,
An M,20,"Ik moet eerlijk zijn, we zijn in IJsland verwend geweest met de pracht van de geisers daar. Op voorhand had ik gelezen dat de geisers metershoog water uitstoten,...",Geyser del Tatio,
An M,50,"Verwacht niet dat je hier uren kan ronddwalen, maar een korte wandeling is voorzien (half uurtje als je langzaam stapt). Maar sowieso de moeite voor de vele fla,...",Reserva Nacional de Flamencos,
Victoria L,40,"Beautiful vegetable risotto, no other will ever come close haha. Also top marks for vegan wine, and heating!",Riso Risottoria del Mundo,
An M,50,"Wat we niet wisten is dat je eigenlijk moet reserveren voor deze gratis toer. We daagden gewoon rond half 1 op en konden net als 4 anderen gewoon mee. Het is ,...",Mina de Chuquicamata,
An M,40,"Wij verbleven met zijn drie twee nachten in dit hostel. Ludwich spreekt vloeiend Engels en Spaans en zelfs een aardig mondje Nederlands. Nog voor we beslist had,...",Pachamama,
An M,40,"We reden hier met eigen vervoer naartoe en bereikten het omstreeks half 9. Je passeert eerst een controlepunt waar je je toegangsticket moet kopen. Ga zeker n,...",Condor's Cross,
An M,20,"Vol verwachting begonnen we aan onze afdaling naar Sangalle. Goed op tijd vertrokken 's morgens om de hitte voor te zijn. Om 7u 's ochtends kom je de mensen teg,...",Oasis Sangalle,
An M,30,"We twijfelden even of we dit wel zouden doen, maar hebben absoluut geen spijt van onze beslissing om er voor te gaan.We gingen wat rondhoren en vonden bij Pel,...",Buggy Huacachina,
An M,50,"Leuke plaats, zeer lekker eten en drinken, toffe en vriendelijke bediening.Niet goedkoop naar Peruviaanse normen, maar absoluut zijn geld waard!",Pachamama Bar- Woodfire Pizzeria,
An M,30,"De bediening is er vriendelijk, al vonden wij het vreemd dat ze met vier personen in de bediening voor vijf tafels toch nog wel wat dingen vergaten. Traag of ne,...",Los Lenos Pizzas y Pastas,
An M,50,"Net, ruim en licht. Goed onderhouden keuken aanwezig. Propere douches en toiletten. Wij betaalden 50sol voor een tweepersoonsbed zonder badkamer en zonder ontbi,...",Paracas Backpackers' House,
An M,40,"Wij boekten een tour via ons hostel. 30 sol p.p. + 13 sol entrada(?) Voor een twee uur durende boottrip. We starten om 8u 's morgens in de haven. We voeren eers,...",Islas Ballestas,
An M,40,"Bij ons maakte dit deel uit van onze boottocht naar Isla Ballestas. We hebben Nazca nog niet bezocht, dus voor ons was dit zeer mooi om zien. Je vaart er met de,...",The Chandelier,
An M,20,"Vooraleer we afzakten naar dit hostel, hebben we ons geïnformeerd via het internet en reisgidsen. Overal was terug te vinden dat het hostel een gratis parking, ,...",El Balcon Hostal,
An M,50,"We verbleven drie dagen, twee nachten in de jungle. De accommodatie is ontzettend goed. Een aanrader. Wij betaalden 700 sol per persoon. We hadden een eigen kam,...",Collpas Tambopata Inn,
An M,40,"We namen een tweepersoonskamer zonder badkamer voor 60sol inclusief ontbijt. Het bed was voorzien van een muskietennet. De kamer was ruim en proper. Er zijn ram,...",Tambopata Hostel,
Marie S,50,"Hotel très joli, au calme. Grande chambre, propre et confortable.Le buffet du petit déjeuner au top : grands choix de sucré (gaufres, pancakes entre autres), ,...",Best Western Plus Yosemite Gateway Inn,
Marie S,40,"Très bon restaurant végé indien. On retrouve des saveurs comme là bas.Le service est plutôt rapide.Les plats sont bons. Les petits pains feuilletés sont tout ,...",Sangeetha Vegetarian restaurant,
